Ticker,Company_Name,Sector,Industry,Market_Cap,Country
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,68835475456.0,United States
REG,Regency Centers Corporation,Real Estate,REIT - Retail,12487919616.0,United States
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,74536730624.0,United States
RF,Regions Financial Corporation,Financial Services,Banks - Regional,23503403008.0,United States
RJF,"Raymond James Financial, Inc.",Financial Services,Asset Management,32736854016.0,United States
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,21614755840.0,United States
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,36497408000.0,United States
ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,45223362560.0,United States
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,29128855552.0,United States
ROP,"Roper Technologies, Inc.",Technology,Software - Application,48082714624.0,United States
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,58280697856.0,United States
RSG,"Republic Services, Inc.",Industrials,Waste Management,66014912512.0,United States
RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,11582882816.0,United States
SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty,20351401984.0,United States
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,94845517824.0,United States
SCHW,The Charles Schwab Corporation,Financial Services,Capital Markets,171138875392.0,United States
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,81564409856.0,United States
SJM,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,10741985280.0,United States
SLB,SLB N.V.,Energy,Oil & Gas Equipment & Services,57127641088.0,United States
SNA,Snap-on Incorporated,Industrials,Tools & Accessories,18124165120.0,United States
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,88758157312.0,United States
SO,The Southern Company,Utilities,Utilities - Regulated Electric,94210531328.0,United States
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,67923668992.0,United States
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,150238134272.0,United States
SRE,Sempra,Utilities,Utilities - Diversified,57540407296.0,United States
STLD,"Steel Dynamics, Inc.",Basic Materials,Steel,24456570880.0,United States
STT,State Street Corporation,Financial Services,Asset Management,35198078976.0,United States
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,62182862848.0,Singapore
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Brewers,24715732992.0,United States
SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories,11207476224.0,United States
SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors,10290126848.0,United States
SYF,Synchrony Financial,Financial Services,Credit Services,29682749440.0,United States
SYK,Stryker Corporation,Healthcare,Medical Devices,135225008128.0,United States
SYY,Sysco Corporation,Consumer Defensive,Food Distribution,34817986560.0,United States
T,AT&T Inc.,Communication Services,Telecom Services,177615585280.0,United States
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,9219375104.0,United States
TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense,75913412608.0,United States
TEL,TE Connectivity plc,Technology,Electronic Components,68920713216.0,Ireland
TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,32290338816.0,United States
TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies,5295373824.0,United States
TGT,Target Corporation,Consumer Defensive,Discount Stores,42286383104.0,United States
TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,171080941568.0,United States
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,213481095168.0,United States
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,230080659456.0,United States
TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,24275533824.0,United States
TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream,38540861440.0,United States
TRMB,Trimble Inc.,Technology,Scientific & Technical Instruments,19458732032.0,United States
TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,22964637696.0,United States
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,63008206848.0,United States
TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail,28185047040.0,United States
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,1461963587584.0,United States
TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,19848699904.0,United States
TT,Trane Technologies plc,Industrials,Building Products & Equipment,88398675968.0,Ireland
TXN,Texas Instruments Incorporated,Technology,Semiconductors,164499275776.0,United States
TXT,Textron Inc.,Industrials,Aerospace & Defense,15042310144.0,United States
UAL,"United Airlines Holdings, Inc.",Industrials,Airlines,33830619136.0,United States
UDR,"UDR, Inc.",Real Estate,REIT - Residential,13135703040.0,United States
UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,14390618112.0,United States
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,26486446080.0,United States
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,293147475968.0,United States
UNP,Union Pacific Corporation,Industrials,Railroads,139653808128.0,United States
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,81063247872.0,United States
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,50510434304.0,United States
USB,U.S. Bancorp,Financial Services,Banks - Regional,80003702784.0,United States
V,Visa Inc.,Financial Services,Credit Services,634377469952.0,United States
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,53916717056.0,United States
VMC,Vulcan Materials Company,Basic Materials,Building Materials,39081676800.0,United States
VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,30591991808.0,United States
VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure,23440885760.0,United States
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,113334927360.0,United States
VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities,38048358400.0,United States
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,174138376192.0,United States
WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,36277112832.0,United States
WAT,Waters Corporation,Healthcare,Diagnostics & Research,23382269952.0,United States
WBA,Unknown,Unknown,Unknown,,Unknown
WDC,Western Digital Corporation,Technology,Computer Hardware,58199822336.0,United States
WEC,"WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric,34077825024.0,United States
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,137869590528.0,United States
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,288501891072.0,United States
WM,"Waste Management, Inc.",Industrials,Waste Management,84694736896.0,United States
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,75654504448.0,United States
WMT,Walmart Inc. Common Stock,Consumer Defensive,Discount Stores,905396944896.0,United States
WRB,W. R. Berkley Corporation,Financial Services,Insurance - Property & Casualty,25313210368.0,United States
WTW,Willis Towers Watson Public Limited Company,Financial Services,Insurance Brokers,31251449856.0,United Kingdom
WY,Weyerhaeuser Company,Real Estate,REIT - Specialty,16075265024.0,United States
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,13218535424.0,United States
XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,44797308928.0,United States
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,494451425280.0,United States
XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery,33676642304.0,United States
YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants,39573856256.0,United States
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,18381338624.0,United States
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,52366561280.0,United States
